Transaction Date,Charge ID,Transaction Type,Payment Method,Amount,Payment Processing Fee,Payment Transaction ID
"03-30-23,  7:32 AM",529bc3d099,Payment,Cash,$50.00,$0.00,925bac30-f7f5-4579-bb31-0ab4ce663c06
"03-30-23,  8:15 PM",9d56335a57,Payment,Payment Card Manual Entry,$36.00,$0.94,10bbd533-da1a-4042-8a0c-d84fdd2b0a11
"04- 9-23,  4:01 PM",4293441f82,Payment,Payment Card Terminal,$100.00,$2.60,f21f6f3e-9ed1-410c-9a01-aa3103a8b555
"04-13-23,  6:54 PM",89f1ff3d75,Payment,Payment Card Terminal,$76.50,$1.99,e5e5a9af-cd7f-4b7f-af9b-d3d7478de5b7
"04-18-23, 12:46 PM",cf50e8c956,Payment,Cash,$75.00,$0.00,dc235629-487b-487b-aad7-ee50b1eff00b
"04-20-23,  6:38 PM",53730109f4,Payment,Cash,$125.00,$0.00,9f785a29-7710-42b1-a1e3-983f8c02b1b0
"04-28-23,  3:08 PM",e31808f764,Payment,Cash,$0.00,$0.00,3307856c-e92c-4de1-9d7b-8ca0e8965241
"05- 8-23,  1:15 PM",ba0665a54f,Payment,Cash,$20.00,$0.00,bb605460-9943-424a-a2c0-b24bc77654ce
"05- 9-23,  8:25 PM",5457b28000,Payment,Cash,$25.00,$0.00,9f2c3237-b947-4fe1-b7a5-9ea1117ef052
"05-10-23,  9:43 PM",dce7b75697,Payment,Payment Card Terminal,$362.00,$9.41,ec69e185-6126-4988-865e-7555cb45e6a9
"05-13-23,  4:50 PM",7055f2a243,Payment,Payment Card Terminal,$173.25,$4.50,1b6e8093-0506-4873-ad2e-e391bd791e7a
"05-15-23, 11:59 AM",37f000828a,Payment,Payment Card On File,$85.00,$2.21,4d757927-5778-4815-9253-93ebe94ee5f4
"05-16-23,  8:25 PM",609b090a41,Payment,Payment Card Terminal,$435.32,$11.32,ead35b5c-902d-4bb5-a335-2792f952d1b1
"05-18-23,  5:49 PM",1363a30014,Payment,Cash,$85.00,$0.00,1d88ac55-23ed-4461-86da-8b8899bf2988
"05-19-23,  4:20 PM",b7fb7dfeaf,Payment,Cash,$85.00,$0.00,bd07e22a-b1d3-442a-a0d3-0586213fc428
"05-20-23,  7:56 AM",c448c3292a,Payment,Payment Card On File,$90.00,$2.34,37e8121a-0c3f-4534-bf18-85f5ed0409d6
"05-26-23, 11:02 AM",9d3025ed95,Payment,Cash,$0.00,$0.00,b7fa3a9e-08bd-45e9-a226-4be1b71a74f8
"05-27-23, 10:21 AM",693f3428e1,Payment,Payment Card Terminal,$93.75,$2.44,8c2902d4-4be9-4c3f-900a-f72d1c1fcf55
"05-28-23,  9:49 PM",88d65c695c,Payment,Payment Card Terminal,$90.00,$2.34,106dbca3-3487-48cb-85dc-734d9fdfedb8
"05-28-23,  9:50 PM",b7f4743da4,Payment,Payment Card Terminal,$127.63,$3.32,16b002a0-eee1-4a1c-b8dd-34013ec29e09
"05-29-23, 12:04 PM",840f945c89,Payment,Cash,$54.50,$0.00,ecd07030-fadd-46b6-86d0-a3010026098d
"05-29-23, 12:20 PM",3e9348a6ee,Payment,Cash,$17.50,$0.00,c05b8fc0-2701-4c8a-9538-cd425fc9b295
"05-31-23,  8:13 AM",acc05a12e2,Payment,Cash,$120.00,$0.00,30aa8562-a881-494d-9b5c-dcf8b15f62c8
"06- 5-23,  5:21 PM",f8c0e2b519,Payment,Cash,$0.00,$0.00,3a70a659-960f-415c-b181-c2f4898cdead
"06- 5-23,  7:02 PM",6be6340988,Payment,Payment Card Terminal,$187.50,$4.88,7ef831d4-958d-4fc4-bb78-aa779b35bf5e
